Data_Hora_Captura,Dado_Capturado,Apelido
"2023-10-13 14:37:17",63.4,RAM
"2023-10-13 14:37:20",63.4,RAM
"2023-10-13 14:37:23",63.4,RAM
"2023-10-13 14:37:26",63.4,RAM
"2023-10-13 14:37:29",63.4,RAM
"2023-10-13 14:37:32",63.4,RAM
"2023-10-13 14:37:35",63.4,RAM
"2023-10-13 14:37:38",63.4,RAM
"2023-10-13 14:37:41",63.4,RAM
"2023-10-13 14:37:44",63.4,RAM
"2023-10-13 14:37:47",63.4,RAM
"2023-10-13 14:37:50",63.4,RAM
"2023-10-13 14:37:53",63.4,RAM
"2023-10-13 14:37:56",63.4,RAM
"2023-10-13 14:37:59",63.4,RAM
"2023-10-13 14:38:02",63.4,RAM
"2023-10-13 14:38:05",63.4,RAM
"2023-10-13 14:38:08",63.4,RAM
"2023-10-13 14:38:11",63.4,RAM
"2023-10-13 14:38:14",63.4,RAM
"2023-10-13 14:38:17",63.4,RAM
"2023-10-13 14:38:20",63.4,RAM
"2023-10-13 14:38:24",63.4,RAM
"2023-10-13 14:38:27",63.4,RAM
"2023-10-13 14:38:30",63.4,RAM
"2023-10-13 14:38:33",63.4,RAM
"2023-10-13 14:38:36",63.4,RAM
"2023-10-13 14:38:39",63.4,RAM
"2023-10-13 14:38:42",63.4,RAM
"2023-10-13 14:38:45",63.4,RAM
"2023-10-13 14:38:48",63.4,RAM
"2023-10-13 14:38:51",63.4,RAM
"2023-10-13 14:38:54",63.4,RAM
"2023-10-13 14:38:57",63.4,RAM
"2023-10-13 14:39:00",63.4,RAM
"2023-10-13 14:39:56",71.9,RAM
"2023-10-13 14:39:56",71.9,RAM
"2023-10-13 14:39:56",71.9,RAM
"2023-10-13 14:39:56",71.9,RAM
"2023-10-13 14:39:56",71.9,RAM
"2023-10-13 14:39:56",71.9,RAM
"2023-10-13 14:39:56",71.9,RAM
"2023-10-13 14:39:56",71.9,RAM
"2023-10-13 14:39:56",71.9,RAM
"2023-10-13 14:39:56",71.9,RAM
"2023-10-13 14:39:56",71.9,RAM
"2023-10-13 14:39:56",71.9,RAM
"2023-10-13 14:39:56",71.9,RAM
"2023-10-13 14:39:56",71.9,RAM
"2023-10-13 14:39:56",71.9,RAM
"2023-10-13 14:39:56",71.9,RAM
"2023-10-13 14:39:56",71.9,RAM
"2023-10-13 14:39:56",71.9,RAM
"2023-10-13 14:39:56",71.9,RAM
"2023-10-13 14:39:56",71.9,RAM
"2023-10-13 14:39:56",71.9,RAM
"2023-10-13 14:39:56",71.9,RAM
"2023-10-13 14:39:56",71.9,RAM
"2023-10-13 14:39:56",71.9,RAM
"2023-10-13 14:39:56",71.9,RAM
"2023-10-13 14:39:56",71.9,RAM
"2023-10-13 14:39:56",71.9,RAM
"2023-10-13 14:39:56",71.9,RAM
"2023-10-13 14:39:56",71.9,RAM
"2023-10-13 14:39:56",71.9,RAM
"2023-10-13 14:39:56",71.9,RAM
"2023-10-13 14:39:56",71.9,RAM
"2023-10-13 14:39:56",71.9,RAM
"2023-10-13 14:39:56",71.9,RAM
"2023-10-13 14:39:56",71.9,RAM
"2023-10-13 14:39:56",71.9,RAM
"2023-10-13 14:39:56",71.9,RAM
"2023-10-13 14:39:57",71.9,RAM
"2023-10-13 14:39:57",71.9,RAM
"2023-10-13 14:39:57",71.9,RAM
"2023-10-13 14:39:57",71.9,RAM
"2023-10-13 14:39:57",71.9,RAM
"2023-10-13 14:39:57",71.9,RAM
"2023-10-13 14:39:57",71.9,RAM
"2023-10-13 14:39:57",71.9,RAM
"2023-10-13 14:39:57",71.9,RAM
"2023-10-13 14:39:57",71.9,RAM
"2023-10-13 14:39:57",71.9,RAM
"2023-10-13 14:39:57",71.9,RAM
"2023-10-13 14:39:57",71.9,RAM
"2023-10-13 14:39:57",71.9,RAM
"2023-10-13 14:39:57",71.9,RAM
"2023-10-13 14:39:57",71.9,RAM
"2023-10-13 14:39:57",71.9,RAM
"2023-10-13 14:39:57",71.9,RAM
"2023-10-13 14:39:57",71.9,RAM
"2023-10-13 14:39:57",71.9,RAM
"2023-10-13 14:39:57",71.9,RAM
"2023-10-13 14:39:57",71.9,RAM
"2023-10-13 14:39:57",71.9,RAM
"2023-10-13 14:39:57",71.9,RAM
"2023-10-13 14:39:57",71.9,RAM
"2023-10-13 14:39:57",71.9,RAM
"2023-10-13 14:39:57",71.9,RAM
"2023-10-13 14:39:57",71.9,RAM
"2023-10-13 14:39:57",71.9,RAM
"2023-10-13 14:39:57",71.9,RAM
"2023-10-13 14:39:57",71.9,RAM
"2023-10-13 14:39:57",71.9,RAM
"2023-10-13 14:39:57",71.9,RAM
"2023-10-13 14:39:57",71.9,RAM
"2023-10-13 14:39:57",71.9,RAM
"2023-10-13 14:39:57",71.9,RAM
"2023-10-13 14:39:57",71.9,RAM
"2023-10-13 14:39:57",71.9,RAM
"2023-10-13 14:39:58",71.9,RAM
"2023-10-13 14:39:58",71.9,RAM
"2023-10-13 14:39:58",71.9,RAM
"2023-10-13 14:39:58",71.9,RAM
"2023-10-13 14:39:58",71.9,RAM
"2023-10-13 14:39:58",71.9,RAM
"2023-10-13 14:39:58",71.9,RAM
"2023-10-13 14:39:58",71.9,RAM
"2023-10-13 14:39:58",71.9,RAM
"2023-10-13 14:39:58",71.9,RAM
"2023-10-13 14:39:58",71.9,RAM
"2023-10-13 14:39:58",71.9,RAM
"2023-10-13 14:39:58",71.9,RAM
"2023-10-13 14:39:58",71.9,RAM
"2023-10-13 14:39:58",71.9,RAM
"2023-10-13 14:39:58",71.9,RAM
"2023-10-13 14:39:58",71.9,RAM
"2023-10-13 14:39:58",71.9,RAM
"2023-10-13 14:39:58",71.9,RAM
"2023-10-13 14:39:58",71.9,RAM
"2023-10-13 14:39:58",71.9,RAM
"2023-10-13 14:39:58",71.9,RAM
"2023-10-13 14:39:58",71.9,RAM
"2023-10-13 14:39:58",71.9,RAM
"2023-10-13 14:39:58",71.9,RAM
"2023-10-13 14:39:58",71.9,RAM
"2023-10-13 14:39:58",71.9,RAM
"2023-10-13 14:39:58",71.9,RAM
"2023-10-13 14:39:58",71.9,RAM
"2023-10-13 14:39:58",71.9,RAM
"2023-10-13 14:39:58",71.9,RAM
"2023-10-13 14:39:58",71.9,RAM
"2023-10-13 14:39:58",71.9,RAM
"2023-10-13 14:39:58",71.9,RAM
"2023-10-13 14:39:58",71.9,RAM
"2023-10-13 14:39:58",71.9,RAM
"2023-10-13 14:39:58",71.9,RAM
"2023-10-13 14:39:58",71.9,RAM
"2023-10-13 14:39:58",71.9,RAM
"2023-10-13 14:39:58",71.9,RAM
"2023-10-13 14:39:59",71.9,RAM
"2023-10-13 14:39:59",71.9,RAM
"2023-10-13 14:39:59",71.9,RAM
"2023-10-13 14:39:59",71.9,RAM
"2023-10-13 14:39:59",71.9,RAM
"2023-10-13 14:39:59",71.9,RAM
"2023-10-13 14:39:59",71.9,RAM
"2023-10-13 14:39:59",71.9,RAM
"2023-10-13 14:39:59",71.9,RAM
"2023-10-13 14:39:59",71.9,RAM
"2023-10-13 14:39:59",71.9,RAM
"2023-10-13 14:39:59",71.9,RAM
"2023-10-13 14:39:59",71.9,RAM
"2023-10-13 14:39:59",71.9,RAM
"2023-10-13 14:39:59",71.9,RAM
"2023-10-13 14:39:59",71.9,RAM
"2023-10-13 14:39:59",71.9,RAM
"2023-10-13 14:39:59",71.9,RAM
"2023-10-13 14:39:59",71.9,RAM
"2023-10-13 14:39:59",71.9,RAM
"2023-10-13 14:39:59",71.9,RAM
"2023-10-13 14:39:59",71.9,RAM
"2023-10-13 14:39:59",71.9,RAM
"2023-10-13 14:39:59",71.9,RAM
"2023-10-13 14:39:59",71.9,RAM
"2023-10-13 14:39:59",71.9,RAM
"2023-10-13 14:39:59",71.9,RAM
"2023-10-13 14:39:59",71.9,RAM
"2023-10-13 14:39:59",71.9,RAM
"2023-10-13 14:39:59",71.9,RAM
"2023-10-13 14:39:59",71.9,RAM
"2023-10-13 14:39:59",71.9,RAM
"2023-10-13 14:39:59",71.9,RAM
"2023-10-13 14:39:59",71.9,RAM
"2023-10-13 14:39:59",71.9,RAM
"2023-10-13 14:39:59",71.9,RAM
"2023-10-13 14:39:59",71.9,RAM
"2023-10-13 14:39:59",71.9,RAM
"2023-10-13 14:40:00",71.9,RAM
"2023-10-13 14:40:00",71.9,RAM
"2023-10-13 14:40:00",71.9,RAM
"2023-10-13 14:40:00",71.9,RAM
"2023-10-13 14:40:00",71.9,RAM
"2023-10-13 14:40:00",71.9,RAM
"2023-10-13 14:40:00",71.9,RAM
"2023-10-13 14:40:00",71.9,RAM
"2023-10-13 14:40:00",71.9,RAM
"2023-10-13 14:40:00",71.9,RAM
"2023-10-13 14:40:00",71.9,RAM
"2023-10-13 14:40:00",71.9,RAM
"2023-10-13 14:40:00",71.9,RAM
"2023-10-13 14:40:00",71.9,RAM
"2023-10-13 14:40:00",71.9,RAM
"2023-10-13 14:40:00",71.9,RAM
"2023-10-13 14:40:00",71.9,RAM
"2023-10-13 14:40:00",71.9,RAM
"2023-10-13 14:40:00",71.9,RAM
"2023-10-13 14:40:00",71.9,RAM
"2023-10-13 14:40:00",71.9,RAM
"2023-10-13 14:40:00",71.9,RAM
"2023-10-13 14:40:00",71.9,RAM
"2023-10-13 14:40:00",71.9,RAM
"2023-10-13 14:40:00",71.9,RAM
"2023-10-13 14:40:00",71.9,RAM
"2023-10-13 14:40:00",71.9,RAM
"2023-10-13 14:40:00",71.9,RAM
"2023-10-13 14:40:00",71.9,RAM
"2023-10-13 14:40:00",71.9,RAM
"2023-10-13 14:40:00",71.9,RAM
"2023-10-13 14:40:00",71.9,RAM
"2023-10-13 14:40:00",71.9,RAM
"2023-10-13 14:40:00",71.9,RAM
"2023-10-13 14:40:00",71.9,RAM
"2023-10-13 14:40:00",71.9,RAM
"2023-10-13 14:40:00",71.9,RAM
"2023-10-13 14:40:01",71.9,RAM
"2023-10-13 14:40:01",71.9,RAM
"2023-10-13 14:40:01",71.9,RAM
"2023-10-13 14:40:01",71.9,RAM
"2023-10-13 14:40:01",71.9,RAM
"2023-10-13 14:40:01",71.9,RAM
"2023-10-13 14:40:01",71.9,RAM
"2023-10-13 14:40:01",71.9,RAM
"2023-10-13 14:40:01",71.9,RAM
"2023-10-13 14:40:01",71.9,RAM
"2023-10-13 14:40:01",71.9,RAM
"2023-10-13 14:40:01",71.9,RAM
"2023-10-13 14:40:01",71.9,RAM
"2023-10-13 14:40:01",71.9,RAM
"2023-10-13 14:40:01",71.9,RAM
"2023-10-13 14:40:01",71.9,RAM
"2023-10-13 14:40:01",71.9,RAM
"2023-10-13 14:40:01",71.9,RAM
"2023-10-13 14:40:01",71.9,RAM
"2023-10-13 14:40:01",71.9,RAM
"2023-10-13 14:40:01",71.9,RAM
"2023-10-13 14:40:01",71.9,RAM
"2023-10-13 14:40:01",71.9,RAM
"2023-10-13 14:40:01",71.9,RAM
"2023-10-13 14:40:01",71.9,RAM
"2023-10-13 14:40:01",71.9,RAM
"2023-10-13 14:40:01",71.9,RAM
"2023-10-13 14:40:01",71.9,RAM
"2023-10-13 14:40:01",71.9,RAM
"2023-10-13 14:40:01",71.9,RAM
"2023-10-13 14:40:01",71.9,RAM
"2023-10-13 14:40:01",71.9,RAM
"2023-10-13 14:40:01",71.9,RAM
"2023-10-13 14:40:01",71.9,RAM
"2023-10-13 14:40:01",71.9,RAM
"2023-10-13 14:40:01",71.9,RAM
"2023-10-13 14:40:01",71.9,RAM
"2023-10-13 14:40:01",71.9,RAM
"2023-10-13 14:40:01",71.9,RAM
"2023-10-13 14:40:01",71.9,RAM
"2023-10-13 14:40:01",71.9,RAM
"2023-10-13 14:40:01",71.9,RAM
"2023-10-13 14:40:01",71.9,RAM
"2023-10-13 14:40:02",71.9,RAM
"2023-10-13 14:40:02",71.9,RAM
"2023-10-13 14:40:02",71.9,RAM
"2023-10-13 14:40:02",71.9,RAM
"2023-10-13 14:40:02",71.9,RAM
"2023-10-13 14:40:02",71.9,RAM
"2023-10-13 14:40:02",71.9,RAM
"2023-10-13 14:40:02",71.9,RAM
"2023-10-13 14:40:02",71.9,RAM
"2023-10-13 14:40:02",71.9,RAM
"2023-10-13 14:40:02",71.9,RAM
"2023-10-13 14:40:02",71.9,RAM
"2023-10-13 14:40:02",71.9,RAM
"2023-10-13 14:40:02",71.9,RAM
"2023-10-13 14:40:02",71.9,RAM
"2023-10-13 14:40:02",71.9,RAM
"2023-10-13 14:40:02",71.9,RAM
"2023-10-13 14:40:02",71.9,RAM
"2023-10-13 14:40:02",71.9,RAM
"2023-10-13 14:40:02",71.9,RAM
"2023-10-13 14:40:02",71.9,RAM
"2023-10-13 14:40:02",71.9,RAM
"2023-10-13 14:40:02",71.9,RAM
"2023-10-13 14:40:02",71.9,RAM
"2023-10-13 14:40:02",71.9,RAM
"2023-10-13 14:40:02",71.9,RAM
"2023-10-13 14:40:02",71.9,RAM
"2023-10-13 14:40:02",71.9,RAM
"2023-10-13 14:40:02",71.9,RAM
"2023-10-13 14:40:02",71.9,RAM
"2023-10-13 14:40:02",71.9,RAM
"2023-10-13 14:40:02",71.9,RAM
"2023-10-13 14:40:02",71.9,RAM
"2023-10-13 14:40:02",71.9,RAM
"2023-10-13 14:40:02",71.9,RAM
"2023-10-13 14:40:02",71.9,RAM
"2023-10-13 14:40:02",71.9,RAM
"2023-10-13 14:40:02",71.9,RAM
"2023-10-13 14:40:02",71.9,RAM
"2023-10-13 14:40:02",71.9,RAM
"2023-10-13 14:40:02",71.9,RAM
"2023-10-13 14:40:02",71.9,RAM
"2023-10-13 14:40:02",71.9,RAM
"2023-10-13 14:40:03",71.9,RAM
"2023-10-13 14:40:03",71.9,RAM
"2023-10-13 14:40:03",71.9,RAM
"2023-10-13 14:40:03",71.9,RAM
"2023-10-13 14:40:03",71.9,RAM
"2023-10-13 14:40:03",71.9,RAM
"2023-10-13 14:40:03",71.9,RAM
"2023-10-13 14:40:03",71.9,RAM
"2023-10-13 14:40:03",71.9,RAM
"2023-10-13 14:40:03",71.9,RAM
"2023-10-13 14:40:03",71.9,RAM
"2023-10-13 14:40:03",71.9,RAM
"2023-10-13 14:40:03",71.9,RAM
"2023-10-13 14:40:03",71.9,RAM
"2023-10-13 14:40:03",71.9,RAM
"2023-10-13 14:40:03",71.9,RAM
"2023-10-13 14:40:03",71.9,RAM
"2023-10-13 14:40:03",71.9,RAM
"2023-10-13 14:40:03",71.9,RAM
"2023-10-13 14:40:03",71.9,RAM
"2023-10-13 14:40:03",71.9,RAM
"2023-10-13 14:40:03",71.9,RAM
"2023-10-13 14:40:03",71.9,RAM
"2023-10-13 14:40:03",71.9,RAM
"2023-10-13 14:40:03",71.9,RAM
"2023-10-13 14:40:03",71.9,RAM
"2023-10-13 14:40:03",71.9,RAM
"2023-10-13 14:40:03",71.9,RAM
"2023-10-13 14:40:03",71.9,RAM
"2023-10-13 14:40:03",71.9,RAM
"2023-10-13 14:40:03",71.9,RAM
"2023-10-13 14:40:03",71.9,RAM
"2023-10-13 14:40:03",71.9,RAM
"2023-10-13 14:40:03",71.9,RAM
"2023-10-13 14:40:03",71.9,RAM
"2023-10-13 14:40:03",71.9,RAM
"2023-10-13 14:40:03",71.9,RAM
"2023-10-13 14:40:03",71.9,RAM
"2023-10-13 14:40:03",71.9,RAM
"2023-10-13 14:40:03",71.9,RAM
"2023-10-13 14:40:04",71.9,RAM
"2023-10-13 14:40:04",71.9,RAM
"2023-10-13 14:40:04",71.9,RAM
"2023-10-13 14:40:04",71.9,RAM
"2023-10-13 14:40:04",71.9,RAM
"2023-10-13 14:40:04",71.9,RAM
"2023-10-13 14:40:04",71.9,RAM
"2023-10-13 14:40:04",71.9,RAM
"2023-10-13 14:40:04",71.9,RAM
"2023-10-13 14:40:04",71.9,RAM
"2023-10-13 14:40:04",71.9,RAM
"2023-10-13 14:40:04",71.9,RAM
"2023-10-13 14:40:04",71.9,RAM
"2023-10-13 14:40:04",71.9,RAM
"2023-10-13 14:40:04",71.9,RAM
"2023-10-13 14:40:04",71.9,RAM
"2023-10-13 14:40:04",71.9,RAM
"2023-10-13 14:40:04",71.9,RAM
"2023-10-13 14:40:04",71.9,RAM
"2023-10-13 14:40:04",71.9,RAM
"2023-10-13 14:40:04",71.9,RAM
"2023-10-13 14:40:04",71.9,RAM
"2023-10-13 14:40:04",71.9,RAM
"2023-10-13 14:40:04",71.9,RAM
"2023-10-13 14:40:04",71.9,RAM
"2023-10-13 14:40:04",71.9,RAM
"2023-10-13 14:40:04",71.9,RAM
"2023-10-13 14:40:04",71.9,RAM
"2023-10-13 14:40:04",71.9,RAM
"2023-10-13 14:40:04",71.9,RAM
"2023-10-13 14:40:04",71.9,RAM
"2023-10-13 14:40:04",71.9,RAM
"2023-10-13 14:40:04",71.9,RAM
"2023-10-13 14:40:04",71.9,RAM
"2023-10-13 14:40:04",71.9,RAM
"2023-10-13 14:40:04",71.9,RAM
"2023-10-13 14:40:04",71.9,RAM
"2023-10-13 14:40:04",71.9,RAM
"2023-10-13 14:40:04",71.9,RAM
"2023-10-13 14:40:04",71.9,RAM
"2023-10-13 14:40:04",71.9,RAM
"2023-10-13 14:40:05",71.9,RAM
"2023-10-13 14:40:05",71.9,RAM
"2023-10-13 14:40:05",71.9,RAM
"2023-10-13 14:40:05",71.9,RAM
"2023-10-13 14:40:05",71.9,RAM
"2023-10-13 14:40:05",71.9,RAM
"2023-10-13 14:40:05",71.9,RAM
"2023-10-13 14:40:05",71.9,RAM
"2023-10-13 14:40:05",71.9,RAM
"2023-10-13 14:40:05",71.9,RAM
"2023-10-13 14:40:05",71.9,RAM
"2023-10-13 14:40:05",71.9,RAM
"2023-10-13 14:40:05",71.9,RAM
"2023-10-13 14:40:05",71.9,RAM
"2023-10-13 14:40:05",71.9,RAM
"2023-10-13 14:40:05",71.9,RAM
"2023-10-13 14:40:05",71.9,RAM
"2023-10-13 14:40:05",71.9,RAM
"2023-10-13 14:40:05",71.9,RAM
"2023-10-13 14:40:05",71.9,RAM
"2023-10-13 14:40:05",71.9,RAM
"2023-10-13 14:40:05",71.9,RAM
"2023-10-13 14:40:05",71.9,RAM
"2023-10-13 14:40:05",71.9,RAM
"2023-10-13 14:40:05",71.9,RAM
"2023-10-13 14:40:05",71.9,RAM
"2023-10-13 14:40:05",71.9,RAM
"2023-10-13 14:40:05",71.9,RAM
"2023-10-13 14:40:05",71.9,RAM
"2023-10-13 14:40:05",71.9,RAM
"2023-10-13 14:40:05",71.9,RAM
"2023-10-13 14:40:05",71.9,RAM
"2023-10-13 14:40:05",71.9,RAM
"2023-10-13 14:40:05",71.9,RAM
